id,title,release_date,overview,tagline,runtime,genres,origin_country,rating,revenue,budget,popularity,vote_average,vote_count
999205,Stowaway,2022-08-31,"A tenacious party girl fights to survive after three thieves commandeer her luxury yacht. Unable to escape and trapped on the yacht at high seas, the prey becomes the hunter as she turns the tables on the intruders and takes matters into her own hands.",,94,"Action, Mystery, Thriller","US, US, , , , US, ",6.2,30556,0,1.3424,6.2,91
913849,The Territory,2022-08-19,"The Indigenous Uru-eu-wau-wau people have seen their population dwindle and their culture threatened since coming into contact with non-Native Brazilians. Though promised dominion over their own rainforest territory, they have faced illegal incursions from environmentally destructive logging and mining, and, most recently, land-grabbing invasions spurred on by right-wing politicians like President Jair Bolsonaro. With deforestation escalating as a result, the stakes have become global.",The battle for home.,85,Documentary,"CA, US, US, US, GB, DK, US",6.8,69316,0,1.6778,6.8,23
881212,Fixation,2022-08-31,"Dora, a young woman at the center of an unusual murder trial, is subjected to a psychiatric evaluation, and as the tests become more personal — and frightening — she begins to question the true motives of her doctor and is forced to live through the recreations of her past.",,101,"Horror, Drama, Thriller",US,4.0,21000,80000,1.4853,4.0,1
948333,Into the Deep,2022-08-26,"Follows a woman desperate to escape her town, she meets a stranger who promises a romantic escape, but it results in deceit, mistrust, and violence.","At sea, there are no boundaries.",91,Thriller,"GB, GB, US",5.533,42195,0,1.6541,5.533,75
747803,One Way,2022-09-02,"On the run with a bag full of cash after a robbing his former crime boss—and a potentially fatal wound—Freddy slips onto a bus headed into a rainy night in Georgia. With his life slipping through his fingers, Freddy is left with very few choices to survive.",No wrong turn goes unpunished.,96,"Action, Crime, Thriller","US, US, GB, US, US, US, IE, US, US, US",5.801,30272,5000000,5.0766,5.801,133
820697,The Five Devils,2022-08-31,"8-year-old Vicky has a mysterious gift: she can recreate any scent she comes across, even that of her beloved mother Joanne. When her estranged aunt Julia suddenly returns to town, the invocation of her fragrance plunges the young girl back in time to unravel a past replete with family secrets.",,96,"Drama, Fantasy, Romance","FR, FR, FR, FR, FR",6.8,46666,3370000,1.1329,6.8,191
913851,A Love Song,2022-07-29,"Two childhood sweethearts, now both widowed, share a night by a lake in the mountains.",,81,"Drama, Romance","US, US, US, , US, US",6.8,278562,0,2.656,6.8,45
998757,Amerikatsi,2022-07-21,"In 1948, decades after fleeing Armenia to the US as a child, Charlie returns in the hopes of finding a connection to his roots, but what he finds instead is a country crushed under Soviet rule. After being unjustly imprisoned, Charlie falls into despair, until he discovers that he can see into a nearby apartment from his cell window - the home of a prison guard.",Freedom is a state of mind.,115,"Drama, Comedy","US, AM",7.1,345353,0,1.3344,7.1,24
852485,She Will,2022-07-15,"Veronica, an aging film star, retreats to the Scottish countryside with her nurse Desi to recover from  a double mastectomy. While there, mysterious forces give Veronica the power to enact revenge within her dreams.",Unleash the past.,95,"Horror, Drama, Thriller","GB, US, , SE, GB",5.451,40958,0,0.6752,5.451,82
801913,Sharp Stick,2022-07-29,"Sarah Jo is a naive 26-year-old living on the fringes of Hollywood with her mother and sister. When she begins an affair with her older employer, she is thrust into an education on sexuality, loss and power.",,96,"Comedy, Drama, Romance","US, US",5.1,68598,0,1.5855,5.1,43
